Paso,Posicion_X,Posicion_Y
0,0,0
1,0.00252,-0.00042
2,0.00756,-0.00126
3,0.01512,-0.00252
4,0.0252,-0.0042
5,0.0378,-0.0063
6,0.05292,-0.00882
7,0.07056,-0.01176
8,0.09072,-0.01512
9,0.1134,-0.0189
10,0.1386,-0.0231
11,0.16632,-0.02772
12,0.19656,-0.03276
13,0.22932,-0.03822
14,0.2646,-0.0441
15,0.3024,-0.0504
16,0.34272,-0.05712
17,0.38556,-0.06426
18,0.43092,-0.07182
19,0.4788,-0.0798
20,0.5292,-0.0882
21,0.58212,-0.09702
22,0.63756,-0.10626
23,0.69552,-0.11592
24,0.756,-0.126
25,0.819,-0.1365
26,0.88452,-0.14742
27,0.95256,-0.15876
28,1.02312,-0.17052
29,1.0962,-0.1827
30,1.1718,-0.1953
31,1.24992,-0.20832
32,1.33056,-0.22176
33,1.41372,-0.23562
34,1.4994,-0.2499
35,1.5876,-0.2646
36,1.67832,-0.27972
37,1.77156,-0.29526
38,1.86732,-0.31122
39,1.9656,-0.3276
40,2.0664,-0.3444
41,2.16972,-0.36162
42,2.27556,-0.37926
43,2.38392,-0.39732
44,2.4948,-0.4158
45,2.6082,-0.4347
46,2.72412,-0.45402
47,2.84256,-0.47376
48,2.96352,-0.49392
49,3.087,-0.5145
50,3.213,-0.5355
51,3.34152,-0.55692
52,3.47256,-0.57876
53,3.60612,-0.60102
54,3.7422,-0.6237
55,3.8808,-0.6468
56,4.02192,-0.67032
57,4.16556,-0.69426
58,4.31172,-0.71862
59,4.4604,-0.7434
60,4.6116,-0.7686
61,4.76532,-0.79422
62,4.92156,-0.82026
63,5.08032,-0.84672
64,5.2416,-0.8736
65,5.4054,-0.9009
66,5.57172,-0.92862
67,5.74056,-0.95676
68,5.91192,-0.98532
69,6.0858,-1.0143
70,6.2622,-1.0437
71,6.44112,-1.07352
72,6.62256,-1.10376
73,6.80652,-1.13442
74,6.993,-1.1655
75,7.182,-1.197
76,7.37352,-1.22892
77,7.56756,-1.26126
78,7.76412,-1.29402
79,7.9632,-1.3272
80,8.1648,-1.3608
81,8.36892,-1.39482
82,8.57556,-1.42926
83,8.78472,-1.46412
84,8.9964,-1.4994
85,9.2106,-1.5351
86,9.42732,-1.57122
87,9.64656,-1.60776
88,9.86832,-1.64472
89,10.0926,-1.6821
90,10.3194,-1.7199
91,10.5487,-1.75812
92,10.7806,-1.79676
93,11.0149,-1.83582
94,11.2518,-1.8753
95,11.4912,-1.9152
96,11.7331,-1.95552
97,11.9776,-1.99626
98,12.2245,-2.03742
99,12.474,-2.079
100,12.726,-2.121
101,12.9805,-2.16342
102,13.2376,-2.20626
