Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
0,3,9,9,3
1,3.08865,9.0299,8.865,2.99
2,3.17595,9.0597,8.73,2.98
3,3.2619,9.0894,8.595,2.97
4,3.3465,9.119,8.46,2.96
5,3.42975,9.1485,8.325,2.95
6,3.51165,9.1779,8.19,2.94
7,3.5922,9.2072,8.055,2.93
8,3.6714,9.2364,7.92,2.92
9,3.74925,9.2655,7.785,2.91
10,3.82575,9.2945,7.65,2.9
11,3.9009,9.3234,7.515,2.89
12,3.9747,9.3522,7.38,2.88
13,4.04715,9.3809,7.245,2.87
14,4.11825,9.4095,7.11,2.86
15,4.188,9.438,6.975,2.85
16,4.2564,9.4664,6.84,2.84
17,4.32345,9.4947,6.705,2.83
18,4.38915,9.5229,6.57,2.82
19,4.4535,9.551,6.435,2.81
20,4.5165,9.579,6.3,2.8
21,4.57815,9.6069,6.165,2.79
22,4.63845,9.6347,6.03,2.78
23,4.6974,9.6624,5.895,2.77
24,4.755,9.69,5.76,2.76
25,4.81125,9.7175,5.625,2.75
26,4.86615,9.7449,5.49,2.74
27,4.9197,9.7722,5.355,2.73
28,4.9719,9.7994,5.22,2.72
29,5.02275,9.8265,5.085,2.71
30,5.07225,9.8535,4.95,2.7
31,5.1204,9.8804,4.815,2.69
32,5.1672,9.9072,4.68,2.68
33,5.21265,9.9339,4.545,2.67
34,5.25675,9.9605,4.41,2.66
35,5.2995,9.987,4.275,2.65
36,5.3409,10.0134,4.14,2.64
37,5.38095,10.0397,4.005,2.63
38,5.41965,10.0659,3.87,2.62
39,5.457,10.092,3.735,2.61
40,5.493,10.118,3.6,2.6
41,5.52765,10.1439,3.465,2.59
42,5.56095,10.1697,3.33,2.58
43,5.5929,10.1954,3.195,2.57
44,5.6235,10.221,3.06,2.56
45,5.65275,10.2465,2.925,2.55
46,5.68065,10.2719,2.79,2.54
47,5.7072,10.2972,2.655,2.53
48,5.7324,10.3224,2.52,2.52
49,5.75625,10.3475,2.385,2.51
50,5.77875,10.3725,2.25,2.5
51,5.7999,10.3974,2.115,2.49
52,5.8197,10.4222,1.98,2.48
53,5.83815,10.4469,1.845,2.47
54,5.85525,10.4715,1.71,2.46
55,5.871,10.496,1.575,2.45
56,5.8854,10.5204,1.44,2.44
57,5.89845,10.5447,1.305,2.43
58,5.91015,10.5689,1.17,2.42
59,5.9205,10.593,1.035,2.41
60,5.9295,10.617,0.9,2.4
61,5.93715,10.6409,0.765,2.39
62,5.94345,10.6647,0.63,2.38
63,5.9484,10.6884,0.495,2.37
64,5.952,10.712,0.36,2.36
65,5.95425,10.7355,0.225,2.35
66,5.95515,10.7589,0.09,2.34
67,5.9547,10.7822,-0.045,2.33
68,5.9529,10.8054,-0.18,2.32
69,5.94975,10.8285,-0.315,2.31
70,5.94525,10.8515,-0.45,2.3
71,5.9394,10.8744,-0.585,2.29
72,5.9322,10.8972,-0.72,2.28
73,5.92365,10.9199,-0.855,2.27
74,5.91375,10.9425,-0.99,2.26
75,5.9025,10.965,-1.125,2.25
76,5.8899,10.9874,-1.26,2.24
77,5.87595,11.0097,-1.395,2.23
78,5.86065,11.0319,-1.53,2.22
79,5.844,11.054,-1.665,2.21
80,5.826,11.076,-1.8,2.2
81,5.80665,11.0979,-1.935,2.19
82,5.78595,11.1197,-2.07,2.18
83,5.7639,11.1414,-2.205,2.17
84,5.7405,11.163,-2.34,2.16
85,5.71575,11.1845,-2.475,2.15
86,5.68965,11.2059,-2.61,2.14
87,5.6622,11.2272,-2.745,2.13
88,5.6334,11.2484,-2.88,2.12
89,5.60325,11.2695,-3.015,2.11
90,5.57175,11.2905,-3.15,2.1
91,5.5389,11.3114,-3.285,2.09
92,5.5047,11.3322,-3.42,2.08
93,5.46915,11.3529,-3.555,2.07
94,5.43225,11.3735,-3.69,2.06
95,5.394,11.394,-3.825,2.05
96,5.3544,11.4144,-3.96,2.04
97,5.31345,11.4347,-4.095,2.03
98,5.27115,11.4549,-4.23,2.02
99,5.2275,11.475,-4.365,2.01
100,5.1825,11.495,-4.5,2
101,5.13615,11.5149,-4.635,1.99
102,5.08845,11.5347,-4.77,1.98
103,5.0394,11.5544,-4.905,1.97
104,4.989,11.574,-5.04,1.96
105,4.93725,11.5935,-5.175,1.95
106,4.88415,11.6129,-5.31,1.94
