Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
0,0,0,0,0
1,-1.05379e+08,1.75631e+07,-1.05379e+10,1.75631e+09
2,-3.16136e+08,5.26894e+07,-2.10757e+10,3.51262e+09
3,-6.32272e+08,1.05379e+08,-3.16136e+10,5.26894e+09
4,-1.05379e+09,1.75631e+08,-4.21515e+10,7.02525e+09
5,-1.58068e+09,2.63447e+08,-5.26894e+10,8.78156e+09
6,-2.21295e+09,3.68825e+08,-6.32272e+10,1.05379e+10
7,-2.9506e+09,4.91767e+08,-7.37651e+10,1.22942e+10
8,-3.79363e+09,6.32272e+08,-8.4303e+10,1.40505e+10
9,-4.74204e+09,7.9034e+08,-9.48408e+10,1.58068e+10
10,-5.79583e+09,9.65971e+08,-1.05379e+11,1.75631e+10
11,-6.95499e+09,1.15917e+09,-1.15917e+11,1.93194e+10
12,-8.21954e+09,1.36992e+09,-1.26454e+11,2.10757e+10
13,-9.58946e+09,1.59824e+09,-1.36992e+11,2.28321e+10
14,-1.10648e+10,1.84413e+09,-1.4753e+11,2.45884e+10
15,-1.26454e+10,2.10757e+09,-1.58068e+11,2.63447e+10
16,-1.43315e+10,2.38858e+09,-1.68606e+11,2.8101e+10
17,-1.61229e+10,2.68716e+09,-1.79144e+11,2.98573e+10
18,-1.80198e+10,3.00329e+09,-1.89682e+11,3.16136e+10
19,-2.0022e+10,3.33699e+09,-2.0022e+11,3.33699e+10
20,-2.21295e+10,3.68825e+09,-2.10757e+11,3.51262e+10
21,-2.43425e+10,4.05708e+09,-2.21295e+11,3.68825e+10
22,-2.66608e+10,4.44347e+09,-2.31833e+11,3.86389e+10
23,-2.90845e+10,4.84742e+09,-2.42371e+11,4.03952e+10
24,-3.16136e+10,5.26894e+09,-2.52909e+11,4.21515e+10
25,-3.42481e+10,5.70801e+09,-2.63447e+11,4.39078e+10
26,-3.69879e+10,6.16465e+09,-2.73985e+11,4.56641e+10
27,-3.98332e+10,6.63886e+09,-2.84523e+11,4.74204e+10
28,-4.27838e+10,7.13063e+09,-2.9506e+11,4.91767e+10
29,-4.58397e+10,7.63996e+09,-3.05598e+11,5.0933e+10
30,-4.90011e+10,8.16685e+09,-3.16136e+11,5.26894e+10
31,-5.22678e+10,8.71131e+09,-3.26674e+11,5.44457e+10
32,-5.564e+10,9.27333e+09,-3.37212e+11,5.6202e+10
33,-5.91175e+10,9.85291e+09,-3.4775e+11,5.79583e+10
34,-6.27003e+10,1.04501e+10,-3.58288e+11,5.97146e+10
35,-6.63886e+10,1.10648e+10,-3.68825e+11,6.14709e+10
36,-7.01822e+10,1.1697e+10,-3.79363e+11,6.32272e+10
37,-7.40812e+10,1.23469e+10,-3.89901e+11,6.49835e+10
38,-7.80856e+10,1.30143e+10,-4.00439e+11,6.67398e+10
39,-8.21954e+10,1.36992e+10,-4.10977e+11,6.84962e+10
40,-8.64105e+10,1.44018e+10,-4.21515e+11,7.02525e+10
41,-9.07311e+10,1.51218e+10,-4.32053e+11,7.20088e+10
42,-9.5157e+10,1.58595e+10,-4.42591e+11,7.37651e+10
43,-9.96883e+10,1.66147e+10,-4.53128e+11,7.55214e+10
44,-1.04325e+11,1.73875e+10,-4.63666e+11,7.72777e+10
45,-1.09067e+11,1.81778e+10,-4.74204e+11,7.9034e+10
